SPEC,FreqRng,MagRng,Harm,OOB,PhaseMod,AmplMod,RampPos,RampNeg,PhaseStepRespTime,PhaseStepDelayTime,PhaseStepOvershoot,MagStepResponseTime,MagStepDelayTime,MagStepOvershoot
TVE,1.000000,1.000000,1.000000,Inf,3.000000,3.000000,1.000000,1.000000,0.040000,0.025000,0.050000,0.040000,0.025000,Inf
FE,0.005000,Inf,0.005000,Inf,0.030000,0.030000,0.010000,0.010000,0.090000,Inf,Inf,0.090000,Inf,Inf
RFE,0.400000,Inf,0.400000,Inf,0.600000,0.600000,0.400000,0.400000,0.120000,Inf,Inf,0.120000,Inf,Inf
