SPEC,FreqRng,MagRng,Harm,OOB,PhaseMod,AmplMod,RampPos,RampNeg,PhaseStepRespTime,PhaseStepDelayTime,PhaseStepOvershoot,MagStepResponseTime,MagStepDelayTime,MagStepOvershoot
TVE,1.000000,1.000000,1.000000,Inf,3.000000,3.000000,1.000000,1.000000,0.033333,0.004167,0.050000,0.033333,0.004167,Inf
FE,0.005000,Inf,0.005000,Inf,0.060000,0.060000,0.010000,0.010000,0.075000,Inf,Inf,0.075000,Inf,Inf
RFE,0.400000,Inf,0.400000,Inf,2.300000,2.300000,0.400000,0.400000,0.100000,Inf,Inf,0.100000,Inf,Inf
