SPEC,FreqRng,MagRng,Harm,OOB,PhaseMod,AmplMod,RampPos,RampNeg,PhaseStepRespTime,PhaseStepDelayTime,PhaseStepOvershoot,MagStepResponseTime,MagStepDelayTime,MagStepOvershoot
TVE,1.000000,1.000000,1.000000,1.300000,3.000000,3.000000,1.000000,1.000000,0.466667,0.016667,0.100000,0.466667,0.016667,Inf
FE,0.005000,Inf,0.005000,0.010000,0.180000,0.180000,0.010000,0.010000,0.933333,Inf,Inf,0.933333,Inf,Inf
RFE,0.100000,Inf,Inf,Inf,5.100000,5.100000,0.200000,0.200000,0.933333,Inf,Inf,0.933333,Inf,Inf
