SPEC,FreqRng,MagRng,Harm,OOB,PhaseMod,AmplMod,RampPos,RampNeg,PhaseStepRespTime,PhaseStepDelayTime,PhaseStepOvershoot,MagStepResponseTime,MagStepDelayTime,MagStepOvershoot
TVE,1.000000,1.000000,1.000000,1.300000,3.000000,3.000000,1.000000,1.000000,0.583333,0.020833,0.100000,0.583333,0.020833,Inf
FE,0.005000,Inf,0.005000,0.010000,0.140000,0.140000,0.010000,0.010000,1.166667,Inf,Inf,1.166667,Inf,Inf
RFE,0.100000,Inf,Inf,Inf,3.300000,3.300000,0.200000,0.200000,1.166667,Inf,Inf,1.166667,Inf,Inf
