SPEC,FreqRng,MagRng,Harm,OOB,PhaseMod,AmplMod,RampPos,RampNeg,PhaseStepRespTime,PhaseStepDelayTime,PhaseStepOvershoot,MagStepResponseTime,MagStepDelayTime,MagStepOvershoot
TVE,1.000000,1.000000,1.000000,1.300000,3.000000,3.000000,1.000000,1.000000,0.116667,0.004167,0.100000,0.116667,0.004167,Inf
FE,0.005000,Inf,0.025000,0.010000,0.300000,0.300000,0.010000,0.010000,0.233333,Inf,Inf,0.233333,Inf,Inf
RFE,0.100000,Inf,Inf,Inf,14.000000,14.000000,0.200000,0.200000,0.233333,Inf,Inf,0.233333,Inf,Inf
